measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",7.072,0.0,9.186,0.262,8.536,9.836,false,2.114,0.23,4.469
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",11.996,0.0,18.712,0.486,17.503,19.92,false,6.716,0.359,45.105
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER]",6.974,0.0,8.606,0.254,7.974,9.238,false,1.632,0.19,2.663
"true","[JOURNALSERIALIZER, FILESIZETHRESHOLD]",27.549,0.0,24.644,0.638,23.059,26.23,false,2.905,0.118,8.439
"false","[MONITOR, DISKSYNC]",52.228,0.0,47.926,0.615,46.398,49.455,false,4.302,0.09,18.507
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, CLOCK]",11.611,0.0,9.529,0.347,8.668,10.39,false,2.082,0.218,4.335
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, CLOCK]",52.468,0.0,48.507,0.578,47.071,49.943,false,3.961,0.082,15.69
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",61.425,0.0,74.253,0.843,72.16,76.347,false,12.828,0.173,164.558
"true","[DISKSYNC, JOURNALSERIALIZER]",57.158,0.0,55.357,0.689,53.646,57.068,false,1.801,0.033,3.244
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",57.539,0.0,67.352,0.714,65.578,69.126,false,9.813,0.146,96.295
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",63.509,0.0,74.737,0.546,73.382,76.092,false,11.228,0.15,126.068
"false","[FILEAGETHRESHOLD, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",26.24,0.0,24.323,0.194,23.841,24.805,false,1.917,0.079,3.675
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",11.285,0.0,18.561,0.292,17.836,19.285,false,7.276,0.392,52.94
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",6.482,0.0,8.549,0.2,8.053,9.044,false,2.067,0.242,4.272
