measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[JOURNALSERIALIZER, FILESIZETHRESHOLD]",24.151,0.0,24.644,0.521,0.493,0.02,0.243
"false","[MONITOR, DISKSYNC]",46.865,0.0,47.926,0.502,1.061,0.022,1.126
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, CLOCK]",9.424,0.0,9.529,0.283,0.105,0.011,0.011
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, CLOCK]",49.228,0.0,48.507,0.472,0.721,0.015,0.52
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",73.192,0.0,74.253,0.688,1.061,0.014,1.126
"true","[DISKSYNC, JOURNALSERIALIZER]",54.613,0.0,55.357,0.562,0.744,0.013,0.554
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",68.889,0.0,67.352,0.583,1.537,0.023,2.362
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",72.184,0.0,74.737,0.445,2.553,0.034,6.518
"true","[FILEAGETHRESHOLD, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",23.787,0.0,24.323,0.158,0.536,0.022,0.287
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",20.061,0.0,18.561,0.238,1.5,0.081,2.25
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",8.314,0.0,8.549,0.163,0.235,0.027,0.055
"false","[MONITOR]",13.668,0.0,14.305,0.468,0.637,0.045,0.406
"false","[FILEAGETHRESHOLD, TRANSIENTMODE]",6.338,0.0,5.844,0.135,0.494,0.085,0.244
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",6.059,0.0,6.04,0.303,0.019,0.003,0
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",8.314,0.0,8.495,0.111,0.181,0.021,0.033
"false","[DEEPCOPY, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",34.721,0.0,36.173,0.675,1.452,0.04,2.108
"true","[DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",53.101,0.0,53.222,0.331,0.121,0.002,0.015
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",9.71,0.0,9.384,0.236,0.326,0.035,0.106
"false","[MONITOR, DISKSYNC, CLOCK]",48.832,0.0,47.747,0.884,1.085,0.023,1.177
"false","[DEEPCOPY, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",8.314,0.0,8.987,0.615,0.673,0.075,0.453
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",67.411,0.0,67.166,0.212,0.245,0.004,0.06
"true","[DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",61.53,0.0,61.956,0.531,0.426,0.007,0.181
"false","[DEEPCOPY, MONITOR, DISKSYNC]",55.412,0.0,55.521,0.272,0.109,0.002,0.012
"true","[FILEAGETHRESHOLD, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",53.332,0.0,52.612,0.347,0.72,0.014,0.518
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",9.424,0.0,10.019,0.489,0.595,0.059,0.354
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",8.314,0.0,8.513,0.144,0.199,0.023,0.04
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.424,0.0,9.382,0.272,0.042,0.004,0.002
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",62.196,0.0,62.16,0.297,0.036,0.001,0.001
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",19.157,0.0,19.222,0.28,0.065,0.003,0.004
